row_num,job_family,course_number,course_is_mandatory,created_at,updated_at
1,Cash Handler,100000000008,True,2025-06-20 12:10:03.123456,2025-06-20 12:10:03.123456
2,Cash Handler,100000000009,True,2025-06-20 12:10:03.123456,2025-06-20 12:10:03.123456
3,Cash Handler,100000000006,True,2025-06-20 12:10:03.123456,2025-06-20 12:10:03.123456
4,Cash Specialist,100000000001,False,2025-06-20 12:10:03.123456,2025-06-20 12:10:03.123456
5,Cash Specialist,100000000000,True,2025-06-20 12:10:03.123456,2025-06-20 12:10:03.123456
6,Cash Specialist,100000000003,True,2025-06-20 12:10:03.123456,2025-06-20 12:10:03.123456
7,Cash Specialist,100000000007,False,2025-06-20 12:10:03.123456,2025-06-20 12:10:03.123456
8,Operations Analyst,100000000008,True,2025-06-20 12:10:03.123456,2025-06-20 12:10:03.123456
9,Operations Analyst,100000000000,False,2025-06-20 12:10:03.123456,2025-06-20 12:10:03.123456
10,Operations Analyst,100000000003,True,2025-06-20 12:10:03.123456,2025-06-20 12:10:03.123456
11,Operations Analyst,100000000005,True,2025-06-20 12:10:03.123456,2025-06-20 12:10:03.123456
12,Operations Analyst,100000000001,True,2025-06-20 12:10:03.123456,2025-06-20 12:10:03.123456
13,Quality Inspector,100000000006,True,2025-06-20 12:10:03.123456,2025-06-20 12:10:03.123456
14,Quality Inspector,100000000002,True,2025-06-20 12:10:03.123456,2025-06-20 12:10:03.123456
15,Quality Inspector,100000000001,False,2025-06-20 12:10:03.123456,2025-06-20 12:10:03.123456
16,Quality Inspector,100000000004,False,2025-06-20 12:10:03.123456,2025-06-20 12:10:03.123456
17,Quality Inspector,100000000008,True,2025-06-20 12:10:03.123456,2025-06-20 12:10:03.123456
18,Shift Supervisor,100000000006,True,2025-06-20 12:10:03.123456,2025-06-20 12:10:03.123456
19,Shift Supervisor,100000000005,True,2025-06-20 12:10:03.123456,2025-06-20 12:10:03.123456
20,Shift Supervisor,100000000004,True,2025-06-20 12:10:03.123456,2025-06-20 12:10:03.123456
21,Shift Supervisor,100000000008,True,2025-06-20 12:10:03.123456,2025-06-20 12:10:03.123456
22,Shift Supervisor,100000000000,True,2025-06-20 12:10:03.123456,2025-06-20 12:10:03.123456
23,Officer,100000000000,True,2026-06-05 15:17:06.850739,2026-06-05 15:17:06.850739
24,Officer,100000000005,True,2026-06-05 15:17:06.850739,2026-06-05 15:17:06.850739
25,Learning Admin,100000000004,True,2026-06-05 15:17:06.850739,2026-06-05 15:17:06.850739
26,Learning Admin,100000000006,True,2026-06-05 15:17:06.850739,2026-06-05 15:17:06.850739
